,modelo,precio,combustible,CV,km,lugar,año,link
996,Volkswagen Taigo 1.0 TSI Life DSG 81kW,22.750  ,  Gasolina,Unknown,                 1               ,                              Alicante             ,                                  2022             ,https://www.coches.com/km0/seminuevo-volkswagen-taigo-10-tsi-life-dsg-81kw-en-alicante.htm?id=6474505
997,Ford Fiesta 1.0 EcoBoost S/S ST Line 140,14.080  ,  Gasolina,Unknown,                 413.260               ,                              Madrid             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-10-ecoboost-ss-st-line-140-en-madrid.htm?id=6471677
998,Toyota Avensis 150D Advance,10.990  ,  Diesel,Unknown,                 114.654               ,                              Madrid             ,                                  2022             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-advance-en-madrid.htm?id=6471459
999,Chevrolet Camaro 3.8 Coupé,8.500  ,  Gasolina,Unknown,                 128.873               ,"                              Rioja, La             ",                                  1999             ,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-camaro-38-coupe-en-rioja+la.htm?id=6469747
1000,Renault Express 1.5 Blue dCi Confort 55kW,16.450  ,  Diesel,Unknown,                 20               ,                              Pontevedra             ,                                  2021             ,https://www.coches.com/km0/seminuevo-renault-express-15-blue-dci-confort-55kw-en-pontevedra.htm?id=6469587
1001,Volkswagen Jetta 1.4 TSI Sport,10.700  ,  Gasolina,Unknown,                 109.081               ,                              Madrid             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-jetta-14-tsi-sport-en-madrid.htm?id=6467961
1002,Nissan Note 1.5dCi Acenta,6.800  ,  Diesel,Unknown,                 148.000               ,                              Murcia             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-note-15dci-acenta-en-murcia.htm?id=6467711
1003,Audi A3 Sportback 35TDI S line S tronic,26.910  ,  Diesel,Unknown,                 20.228               ,                              Valencia             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sportback-35tdi-s-line-s-tronic-en-valencia.htm?id=6467565
1004,Kia Rio 1.2 DPi Concept 84,11.500  ,  Gasolina,Unknown,                 5               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-kia-rio-12-dpi-concept-84-en-burgos.htm?id=6462745
1005,Volkswagen Golf 2.0TDI Life DSG 110kW,24.700  ,  Diesel,Unknown,                 26.227               ,                              Malaga             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20tdi-life-dsg-110kw-en-malaga.htm?id=6458748
1006,Opel Mokka 1.4T S&S Selective 4x4,12.100  ,  Gasolina,Unknown,                 91.280               ,                              Madrid             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-14t-s_s-selective-4x4-en-madrid.htm?id=6458542
1007,Cadillac BLS 1.9D Elegance,5.900  ,  Diesel,Unknown,                 110.855               ,                              Madrid             ,                                  2006             ,https://www.coches.com/coches-segunda-mano/ocasion-cadillac-bls-19d-elegance-en-madrid.htm?id=6458480
1008,Mg HSe 1.5T-GDI Comfort,26.990  ,  Híbrido,Unknown,                 6               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-mg-hs-e-15t-gdi-comfort-en-burgos.htm?id=6455754
1009,Seat Ateca 1.5 EcoTSI S&S Style,18.900  ,  Gasolina,Unknown,                 38.559               ,                              Madrid             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-en-madrid.htm?id=6453054
1010,Peugeot Partner Furgón 1.6HDI Confort L1,4.980  ,  Diesel,Unknown,                 175.000               ,                              Barcelona             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-16hdi-confort-l1-en-barcelona.htm?id=6451730
1011,Ford Focus 2.0 RS 200,19.990  ,  Gasolina,Unknown,                 178.000               ,                              Vizcaya             ,                                  2004             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-20-rs-200-en-vizcaya.htm?id=6450768
1012,Peugeot 3008 1.6 VTi Style,9.900  ,  Gasolina,Unknown,                 110.000               ,                              Barcelona             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-16-vti-style-en-barcelona.htm?id=6450068
1013,Audi A3 1.8 TFSI Ambition,15.290  ,  Gasolina,Unknown,                 101.960               ,                              Madrid             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-18-tfsi-ambition-en-madrid.htm?id=6448888
1014,Bmw Serie 6M6A Gran Coupé,49.900  ,  Gasolina,Unknown,                 82.393               ,                              Madrid             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-m6a-gran-coupe-en-madrid.htm?id=6446849
1015,Seat Ibiza 1.2 TSI Style,10.800  ,  Gasolina,Unknown,                 57.349               ,                              Granada             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-12-tsi-style-en-granada.htm?id=6444877
1016,Citroen C4 Picasso 1.6BlueHDI S&S Business 120,11.990  ,  Diesel,Unknown,                 43.000               ,                              Sevilla             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16bluehdi-s_s-business-120-en-sevilla.htm?id=6443743
1017,Mitsubishi Montero iO 1.8 GDI Plus,5.500  ,  Gasolina,Unknown,                 228.000               ,                              Girona             ,                                  2000             ,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-io-18-gdi-plus-en-girona.htm?id=6434037
1018,Peugeot 307 Break 1.6 16v X-Line,2.850  ,  Gasolina,Unknown,                 290.000               ,                              Madrid             ,                                  2005             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-break-16-16v-x-line-en-madrid.htm?id=6428889
1019,Bmw X4 M40i,53.900  ,  Gasolina,Unknown,                 64.000               ,                              Albacete             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x4-m40i-en-albacete.htm?id=6427921
1020,Jeep Compass 1.3 Gse T4 Longitude 4x2 130,23.900  ,  Gasolina,Unknown,                 5               ,                              Avila             ,                                  2021             ,https://www.coches.com/km0/seminuevo-jeep-compass-13-gse-t4-longitude-4x2-130-en-avila.htm?id=6355811
1021,Fiat 500e 70Kw Action,16.500  ,  Eléctrico,Unknown,                 5               ,                              Avila             ,                                  2021             ,https://www.coches.com/km0/seminuevo-fiat-500-e-70kw-action-en-avila.htm?id=6354057
1022,Bmw Serie 1120d,8.800  ,  Diesel,Unknown,                 236.050               ,                              Madrid             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-120d-en-madrid.htm?id=6353549
1023,Bmw Serie 4430dA Gran Coupé xDrive,24.499  ,  Diesel,Unknown,                 39.000               ,                              Jaen             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+4-430da-gran-coupe-xdrive-en-jaen.htm?id=6350779
