,index,modelo,precio,combustible,CV,km,lugar,año,link
3065,2185,                 Ds DS7 7 Crossback E-Tense             ,39.999 €, Híbrido, 225 cv,                 3 km             ,                  Alava             ,                  2021             ,https://www.coches.com/km0/seminuevo-ds-ds7+crossback-e-tense-so-chic-aut-4x2-en-alava.htm?id=6519483
3066,2186,                 Volkswagen  1.5 TSI Advance             ,23.790 €, Gasolina, 150 cv,                 24.144 km             ,                  Madrid             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-t-roc-15-tsi-advance-dsg7-en-madrid.htm?id=6519367
3067,2187,                 Seat Altea  XL 1.6TDI CR S&S             ,5.500 €, Diesel, 105 cv,                 159.000 km             ,                  Valencia             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-16tdi-cr-s_s-reference-e-eco-en-valencia.htm?id=6510651
3068,2188,                 Citroen C5  Hybrid Feel EAT8             ,27.899 €, Híbrido, 225 cv,                 31 km             ,                  Alava             ,                  2021             ,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-feel-eat8-en-alava.htm?id=6508965
3069,2189,                 Citroen C5  Hybrid Feel EAT8             ,27.899 €, Híbrido, 225 cv,                 2 km             ,                  Alava             ,                  2020             ,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-feel-eat8-en-alava.htm?id=6508957
3070,2190,                 Citroen C5  Hybrid Feel EAT8             ,27.899 €, Híbrido, 225 cv,                 5 km             ,                  Alava             ,                  2021             ,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-feel-eat8-en-alava.htm?id=6508955
3071,2191,                 Invicta D2S  27kW             ,13.095 €, Eléctrico, 37 cv,                 3 km             ,                  Burgos             ,                  2021             ,https://www.coches.com/km0/seminuevo-invicta-d2s-27kw-en-burgos.htm?id=6506977
3072,2192,                 Hyundai Tucson  1.6 TGDI Klass 4x2             ,24.490 €, Gasolina, 150 cv,                 4 km             ,                  Burgos             ,                  2022             ,https://www.coches.com/km0/seminuevo-hyundai-tucson-16-tgdi-klass-4x2-en-burgos.htm?id=6506975
3073,2193,                 Citroen Jumper  Combi 2.2BlueHDI             ,19.525 €, Diesel, 140 cv,                 2 km             ,                  Alava             ,                  2021             ,https://www.coches.com/km0/seminuevo-citroen-jumper-combi-22bluehdi-33l2h2-140-en-alava.htm?id=6504223
3074,2194,                 Volkswagen Up!  eco 1.0 High up!             ,6.800 €, Gasolina, 68 cv,                 173.200 km             ,                  Badajoz             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-up-eco-10-high-up-en-badajoz.htm?id=6504117
3075,2195,                 Mercedes Citan  Tourer 110CDI Base             ,22.500 €, Diesel, 95 cv,                 0 km             ,                  Madrid             ,                  2021             ,https://www.coches.com/km0/seminuevo-mercedes-citan-tourer-110cdi-base-en-madrid.htm?id=6503423
3076,2196,                 Mazda MX-5  Roadster Coupé 1.8             ,17.500 €, Gasolina, 126 cv,                 45.700 km             ,                  Asturias             ,                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-5-roadster-coupe-18-style-en-asturias.htm?id=6503395
3077,2197,                 Volkswagen Up!  eco 1.0 High up!             ,7.990 €, Gasolina, 68 cv,                 89.000 km             ,                  Madrid             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-up-eco-10-high-up-en-madrid.htm?id=6503177
3078,2198,                 Citroen C5  BlueHDi S&S Live             ,20.899 €, Diesel, 130 cv,                 2 km             ,                  Alava             ,                  2021             ,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-bluehdi-s_s-live-pack-130-en-alava.htm?id=6502495
